episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter,wall_clock
0,1.0,3.199731062894778,0.6831029229279388,0.18303006840958455,10.0,1.5,9,0.0,False,True,0.7905415786407282,1,17.709159380834848,37.897,prepare,0.0,0,1774594531.0200834
0,2.0,3.1997327938476117,0.683103211419783,0.18326595495145928,0.0,1.5,6,1.0,False,True,0.7905513581379272,1,17.709159380834848,37.949,in_progress,0.0,0,1774594543.9146814
0,3.0,3.2328108343523905,0.6810756515637432,-0.32004910241640655,0.0,1.5,6,1.0,False,True,0.977318610687142,1,17.709159380834848,38.014,in_progress,0.0,0,1774594558.1343315
0,4.0,3.2924579724651286,0.6785519062970303,-0.8067564433164794,0.0,1.5,6,1.0,False,True,1.3141115785640656,2,17.709159380834848,38.078,in_progress,0.0,0,1774594573.0439842
0,5.0,3.384835676929552,0.6775635163414732,-0.7792635322753533,0.0,1.5,6,1.0,False,True,1.8357824351969823,2,17.709159380834848,38.149,in_progress,0.0,0,1774594587.0381703
0,6.0,3.48057280284006,0.6764286322766486,-0.7810709434267693,0.0,1.5,6,1.0,False,True,2.3763887567652615,3,17.709159380834848,38.212,in_progress,0.0,0,1774594601.6725338
0,7.0,3.587091129282622,0.6752129104143463,-0.7833474809450105,0.0,1.5,6,1.0,False,True,2.9778676038864456,4,17.709159380834848,38.282,in_progress,0.0,0,1774594615.8176017
0,8.0,3.6966295419279214,0.6739606467392606,-0.8162040182785928,0.0,1.5,6,1.0,False,True,3.5964069404447048,4,17.709159380834848,38.347,in_progress,0.0,0,1774594629.8706217
0,9.0,3.8000675186224635,0.6728029356832197,-0.7931113727153454,0.0,1.5,6,1.0,False,True,4.180497549057762,5,17.709159380834848,38.406,in_progress,0.0,0,1774594644.3564196
0,10.0,3.8942818188271247,0.6715435711581784,-0.8029928798543046,0.0,1.5,6,1.0,False,True,4.712505486303521,6,17.709159380834848,38.48,in_progress,0.0,0,1774594658.45491
0,11.0,4.002498828110079,0.6695890363226019,-0.9479499569407939,0.0,1.5,6,1.0,False,True,5.323580953565639,6,17.709159380834848,38.546,in_progress,0.0,0,1774594672.3348975
0,12.0,4.104419460965213,0.6681378875130195,-0.945488347970829,0.0,1.5,6,1.0,False,True,5.899103034001105,7,17.709159380834848,38.608,in_progress,0.0,0,1774594686.507067
0,13.0,4.20488636291829,0.6665246651351217,-0.9565100423611045,0.0,1.5,6,1.0,False,True,6.466415269288219,8,17.709159380834848,38.681,in_progress,0.0,0,1774594701.2309923
0,14.0,4.303875717018329,0.6649180390570302,-1.0108633204710653,0.0,1.5,6,1.0,False,True,7.025384033993209,8,17.709159380834848,38.739,in_progress,0.0,0,1774594715.4829533
0,15.0,4.4011174728065665,0.6633020178899647,-1.0537147668632243,0.0,1.5,6,1.0,False,True,7.5744850178319805,9,17.709159380834848,38.81,in_progress,0.0,0,1774594729.7998638
0,16.0,4.516979717397255,0.6610729487590452,-1.0971325687779503,0.0,1.5,6,1.0,False,True,8.228731350880548,10,17.709159380834848,38.874,in_progress,0.0,0,1774594745.331168
0,17.0,4.608029711024718,0.6598039676778292,-1.1001008635438112,0.0,1.5,6,1.0,False,True,8.742867838722495,10,17.709159380834848,38.934,in_progress,0.0,0,1774594759.920432
0,18.0,4.717733271341881,0.6571879258123274,-1.2514744729215903,0.0,1.5,6,1.0,False,True,9.36233335302184,11,17.709159380834848,39.005,in_progress,0.0,0,1774594774.278018
